,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
mansion,['n. \xe5\xa4\xa7\xe5\x8e\xa6\xef\xbc\x9b\xe5\x85\xac\xe5\xaf\x93']
appetite,['n. \xe8\x83\x83\xe5\x8f\xa3\xef\xbc\x8c\xe9\xa3\x9f\xe6\xac\xb2']
integrity,['n. \xe5\xae\x8c\xe6\x95\xb4\xe6\x80\xa7\xef\xbc\x9b\xe6\xad\xa3\xe7\x9b\xb4\xef\xbc\x8c\xe8\xaf\x9a\xe5\xae\x9e']
repertory,['n. \xe5\x85\xa8\xe9\x83\xa8\xe5\x89\xa7\xe7\x9b\xae\xef\xbc\x9b\xe5\x82\xa8\xe5\xa4\x87\xef\xbc\x8c\xe5\xba\x93\xe5\xad\x98\xef\xbc\x9b\xe4\xbb\x93\xe5\xba\x93']
briskness,['n. \xe6\x95\x8f\xe6\x8d\xb7\xef\xbc\x8c\xe6\xb4\xbb\xe6\xb3\xbc']
segment,['n. \xe9\x83\xa8\xe5\x88\x86\xef\xbc\x9b\xe7\x89\x87\xe6\x96\xad']
buddy,['n. \xe5\xaf\x86\xe5\x8f\x8b\xef\xbc\x8c\xe4\xbc\x99\xe4\xbc\xb4']
eligible,['adj. \xe5\x90\x88\xe6\xa0\xbc\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe8\xb5\x84\xe6\xa0\xbc\xe7\x9a\x84']
physiological,['adj. \xe7\x94\x9f\xe7\x90\x86\xe5\xad\xa6\xe7\x9a\x84\xef\xbc\x9b\xe7\x94\x9f\xe7\x90\x86\xe4\xb8\x8a\xe7\x9a\x84']
rupture,['n./v. \xe6\x96\xad\xe8\xa3\x82\xef\xbc\x8c\xe6\x96\xad\xe7\xbb\x9d']
a range of,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xb8\x80\xe7\xb3\xbb\xe5\x88\x97\xe7\x9a\x84\xe4\xb8\x9c\xe8\xa5\xbf']
seriously,['adv. \xe8\xae\xa4\xe7\x9c\x9f\xe5\x9c\xb0\xef\xbc\x9b\xe5\xba\x84\xe9\x87\x8d\xe5\x9c\xb0']
teapot,['n. \xe8\x8c\xb6\xe5\xa3\xb6']
originality,['n. \xe5\x88\x9b\xe6\x84\x8f\xef\xbc\x8c\xe6\x96\xb0\xe5\xa5\x87']
superficially,['adv. \xe6\xb5\x85\xe8\x96\x84\xe5\x9c\xb0']
mate,['v. \xe7\xbb\x93\xe4\xbc\xb4\xef\xbc\x8c\xe6\x88\x90\xe9\x85\x8d\xe5\x81\xb6']
lore,['n. \xe5\x8f\xa3\xe5\xa4\xb4\xe4\xbc\xa0\xe8\xaf\xb4\xef\xbc\x9b\xe5\xad\xa6\xe9\x97\xae\xef\xbc\x8c\xe7\x9f\xa5\xe8\xaf\x86']
sway,['vi. \xe6\x91\x87\xe6\x91\x86\xef\xbc\x8c\xe6\x91\x87\xe5\x8a\xa8']
unscrupulously,['adv. \xe8\x82\x86\xe6\x97\xa0\xe5\xbf\x8c\xe6\x83\xae\xe5\x9c\xb0\xef\xbc\x8c\xe6\x97\xa0\xe9\x81\x93\xe5\xbe\xb7\xe7\x9a\x84']
supreme,['adj. (\xe6\x9d\x83\xe5\x8a\x9b\xe3\x80\x81\xe7\xba\xa7\xe5\x88\xab\xe6\x88\x96\xe5\x9c\xb0\xe4\xbd\x8d)\xe8\x87\xb3\xe9\xab\x98\xe7\x9a\x84\xef\xbc\x9b\xe6\x9c\x80\xe9\x87\x8d\xe8\xa6\x81\xe7\x9a\x84']
divergent,['adj. \xe6\x9c\x89\xe5\x88\x86\xe6\xad\xa7\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe5\xb7\xae\xe5\xbc\x82\xe7\x9a\x84']
merchant,['n. \xe5\x95\x86\xe4\xba\xba']
conjecture,['n./v. \xe6\x8e\xa8\xe6\xb5\x8b\xef\xbc\x8c\xe7\x8c\x9c\xe6\xb5\x8b']
collaborate,['vi. \xe5\x8d\x8f\xe4\xbd\x9c\xef\xbc\x8c\xe5\x90\x88\xe4\xbd\x9c']
rescue,['vt. \xe6\x8f\xb4\xe6\x95\x91\xef\xbc\x8c\xe6\x95\x91\xe6\x8f\xb4']
ration,['n. \xe5\xae\x9a\xe9\x87\x8f\xef\xbc\x8c\xe9\x85\x8d\xe7\xbb\x99\xe9\x87\x8f']
arboreal,['adj. \xe6\xa0\x91\xe6\xa0\x96\xe7\x9a\x84\xef\xbc\x9b\xe6\xa0\x91\xe7\x9a\x84']
dispense,['vt. \xe5\x88\x86\xe9\x85\x8d\xef\xbc\x8c\xe5\x88\x86\xe5\x8f\x91']
aurora,['n. \xe6\x9e\x81\xe5\x85\x89=auroral light']
perennial,['adj. \xe5\x9b\x9b\xe5\xad\xa3\xe4\xb8\x8d\xe6\x96\xad\xe7\x9a\x84\xef\xbc\x8c\xe7\xbb\x88\xe5\xb9\xb4\xe7\x9a\x84\xef\xbc\x9b\xef\xbc\x88\xe6\xa4\x8d\xe7\x89\xa9\xef\xbc\x89\xe5\xa4\x9a\xe5\xb9\xb4\xe7\x94\x9f\xe7\x9a\x84']
inhibit,['vt. \xe6\x8a\x91\xe5\x88\xb6\xef\xbc\x9b\xe9\x98\xbb\xe6\xad\xa2']
distort,['vt. \xe5\xbc\x84\xe6\xad\xaa\xef\xbc\x88\xe5\xbd\xa2\xe7\x8a\xb6\xe7\xad\x89\xef\xbc\x89\xef\xbc\x9b\xe6\xad\xaa\xe6\x9b\xb2']
pigment,['n. \xe8\x89\xb2\xe7\xb4\xa0\xef\xbc\x8c\xe9\xa2\x9c\xe6\x96\x99']
appropriation,['n. \xe6\x8b\xa8\xe6\xac\xbe']
rawhide,['n. \xe7\x94\x9f\xe7\x89\x9b\xe7\x9a\xae']
confederate,['n. \xe5\x90\x8c\xe7\x9b\x9f\xe8\x80\x85\xef\xbc\x8c\xe7\x9b\x9f\xe5\x8f\x8b']
microbe,['n. \xe5\xbe\xae\xe7\x94\x9f\xe7\x89\xa9']
affect,['v. \xe5\xbd\xb1\xe5\x93\x8d\xef\xbc\x9b\xe5\x81\x87\xe8\xa3\x85']
nerve cord,['\xe8\xaf\x8d\xe7\xbb\x84 \xe8\x84\x8a\xe9\xab\x93']
postpone,['vt. \xe6\x8e\xa8\xe8\xbf\x9f\xef\xbc\x8c\xe4\xbd\xbf\xe5\xbb\xb6\xe6\x9c\x9f']
embroider,"['vt. \xe5\x88\xba\xe7\xbb\xa3, \xe9\x95\xb6\xe8\xbe\xb9\xef\xbc\x9b\xe8\xa3\x85\xe9\xa5\xb0']"
chapel,['n. \xe5\xb0\x8f\xe7\xa4\xbc\xe6\x8b\x9c\xe5\xa0\x82']
disturb,['vt. \xe6\x89\x93\xe6\x89\xb0\xef\xbc\x8c\xe6\x89\xb0\xe4\xb9\xb1']
specify,['vt. \xe6\x98\x8e\xe7\xa1\xae\xe8\xaf\xb4\xe6\x98\x8e\xef\xbc\x9b\xe5\x85\xb7\xe4\xbd\x93\xe6\x8c\x87\xe5\xae\x9a']
scholar,['n. \xe5\xad\xa6\xe8\x80\x85']
progression,['n. \xe8\xa1\x8c\xe8\xbf\x9b\xef\xbc\x9b\xe6\xac\xa1\xe5\xba\x8f']
exaggerate,['v. \xe5\xa4\xb8\xe5\xa4\xa7\xef\xbc\x8c\xe5\xa4\xb8\xe5\xbc\xa0']
laurels,['n. \xe6\xa1\x82\xe5\x86\xa0\xef\xbc\x8c\xe8\x8d\xa3\xe8\xaa\x89']
conceive,['vt. \xe6\x9e\x84\xe6\x80\x9d\xef\xbc\x9b\xe8\xae\xbe\xe6\x83\xb3']
sculpt,['vt. \xe9\x9b\x95\xe5\x88\xbb\xef\xbc\x8c\xe9\x80\xa0\xe5\x9e\x8b']
venue,['n. \xe5\x9c\xb0\xe7\x82\xb9\xef\xbc\x9b\xe4\xbc\x9a\xe5\x9c\xba']
sketch,['n. \xe8\x8d\x89\xe5\x9b\xbe\xef\xbc\x9b\xe7\xb4\xa0\xe6\x8f\x8f']
humidity,['n. \xe6\xb9\xbf\xe6\xb0\x94\xef\xbc\x8c\xe6\xb9\xbf\xe5\xba\xa6']
intensify,['vt. \xe5\x8a\xa0\xe5\xbc\xba\xef\xbc\x9b\xe6\x89\xa9\xe5\xa4\xa7']
convenience,['n. \xe4\xbe\xbf\xe5\x88\xa9\xef\xbc\x8c\xe6\x96\xb9\xe4\xbe\xbf']
debris,['n. \xe5\xba\x9f\xe5\xa2\x9f\xef\xbc\x8c\xe6\xae\x8b\xe9\xaa\xb8\xef\xbc\x9b\xe7\xa2\x8e\xe7\x89\x87']
delegate,['n. \xe4\xbb\xa3\xe8\xa1\xa8']
enhance,['vt. \xe6\x8f\x90\xe9\xab\x98\xef\xbc\x8c\xe5\xa2\x9e\xe5\x8a\xa0']
light bulb,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x81\xaf\xe6\xb3\xa1']
precursor,['n. \xe5\x85\x88\xe9\xa9\xb1\xef\xbc\x8c\xe5\x85\x88\xe8\xa1\x8c\xe8\x80\x85\xef\xbc\x9b\xe5\x85\x88\xe5\x85\x86']
slipper,['n. \xe6\x8b\x96\xe9\x9e\x8b']
ornamental,['adj. \xe8\xa3\x85\xe9\xa5\xb0\xe7\x9a\x84']
charter,['v. \xe5\x8c\x85\xe7\xa7\x9f\xef\xbc\x9b\xe7\x89\xb9\xe8\xae\xb8']
civility,['n. \xe5\xbd\xac\xe5\xbd\xac\xe6\x9c\x89\xe7\xa4\xbc\xef\xbc\x8c\xe6\x96\xaf\xe6\x96\x87']
monotonous,['adj. \xe5\x8d\x95\xe8\xb0\x83\xe4\xb9\x8f\xe5\x91\xb3\xe7\x9a\x84\xef\xbc\x8c\xe6\x97\xa0\xe5\x8f\x98\xe5\x8c\x96\xe7\x9a\x84']
quilt,['n. \xe6\xa3\x89\xe8\xa2\xab']
concise,['adj. \xe7\xae\x80\xe6\xb4\x81\xe7\x9a\x84\xef\xbc\x8c\xe7\xae\x80\xe6\x98\x8e\xe7\x9a\x84']
pungent,['adj. \xef\xbc\x88\xe6\xb0\x94\xe5\x91\xb3\xe3\x80\x81\xe5\x91\xb3\xe9\x81\x93\xef\xbc\x89\xe5\x88\xba\xe6\xbf\x80\xe6\x80\xa7\xe7\x9a\x84\xef\xbc\x8c\xe8\xbe\x9b\xe8\xbe\xa3\xe7\x9a\x84\xef\xbc\x9b\xe5\xb0\x96\xe9\x94\x90\xe7\x9a\x84']
consistent,['adj. \xe4\xb8\x80\xe8\x87\xb4\xe7\x9a\x84\xef\xbc\x9b\xe7\xa8\xb3\xe5\xae\x9a\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\x98\xe5\x8c\x96\xe5\xb0\x91\xe7\x9a\x84']
tectonics,['n. [\xe5\x9c\xb0]\xe6\x9e\x84\xe9\x80\xa0\xe5\x9c\xb0\xe8\xb4\xa8\xe5\xad\xa6']
the Cabinet,['n. \xe5\x86\x85\xe9\x98\x81    cabinet  n. \xe6\xa9\xb1\xe6\x9f\x9c']
horn,['n. \xef\xbc\x88\xe7\x89\x9b\xe7\xbe\x8a\xe7\xad\x89\xe7\x9a\x84\xef\xbc\x89\xe8\xa7\x92']
chef,['n. \xe5\x8e\xa8\xe5\xb8\x88']
disciplined,['adj. \xe9\x81\xb5\xe5\xae\x88\xe7\xba\xaa\xe5\xbe\x8b\xe7\x9a\x84']
persuade,['v. \xe8\xaf\xb4\xe6\x9c\x8d\xef\xbc\x8c\xe5\x8a\x9d\xe8\xaf\xb4\xef\xbc\x8c\xef\xbc\x88\xe4\xbd\xbf\xef\xbc\x89\xe7\x9b\xb8\xe4\xbf\xa1']
popularity,['n. \xe6\xb5\x81\xe8\xa1\x8c\xef\xbc\x8c\xe5\x8f\x97\xe5\xa4\xa7\xe4\xbc\x97\xe6\xac\xa2\xe8\xbf\x8e']
rigorous,['adj. \xe4\xb8\xa5\xe6\xa0\xbc\xe7\x9a\x84']
repetition,['n. \xe9\x87\x8d\xe5\xa4\x8d']
spontaneously,"['adv. \xe8\x87\xaa\xe7\x84\xb6\xe5\x9c\xb0, \xe6\x9c\xac\xe8\x83\xbd\xe5\x9c\xb0']"
expressive,"['adj. \xe6\x9c\x89\xe8\xa1\xa8\xe7\x8e\xb0\xe5\x8a\x9b\xe7\x9a\x84,\xe5\xaf\x8c\xe6\x9c\x89\xe8\xa1\xa8\xe6\x83\x85\xe7\x9a\x84,\xe7\x94\x9f\xe5\x8a\xa8\xe7\x9a\x84']"
ideology,['n. \xe6\x84\x8f\xe8\xaf\x86\xe5\xbd\xa2\xe6\x80\x81']
layering,['n. \xe5\x88\x86\xe5\xb1\x82\xe5\xa0\x86\xe7\xa7\xaf']
inanimate,['adj. \xe6\x97\xa0\xe7\x94\x9f\xe5\x91\xbd\xe7\x9a\x84']
employ,['vt. \xe7\x94\xa8\xef\xbc\x8c\xe4\xbd\xbf\xe7\x94\xa8']
stardom,['n. \xe6\x98\x8e\xe6\x98\x9f\xe7\x9a\x84\xe8\xba\xab\xe4\xbb\xbd\xe6\x88\x96\xe5\x9c\xb0\xe4\xbd\x8d']
hide,['n. \xe5\x85\xbd\xe7\x9a\xae']
deliberate,['adj. \xe6\xb7\xb1\xe6\x80\x9d\xe7\x86\x9f\xe8\x99\x91\xe7\x9a\x84\xef\xbc\x9b\xe6\x95\x85\xe6\x84\x8f\xe7\x9a\x84']
solemn,['adj. \xe4\xb8\xa5\xe8\x82\x83\xe7\x9a\x84\xef\xbc\x9b\xe5\xba\x84\xe4\xb8\xa5\xe7\x9a\x84\xef\xbc\x8c\xe9\x9a\x86\xe9\x87\x8d\xe7\x9a\x84']
minuscule,['adj. \xe6\x9e\x81\xe5\xb0\x8f\xe7\x9a\x84']
specification,['n. \xe8\xa7\x84\xe6\xa0\xbc\xef\xbc\x8c\xe8\xaf\xa6\xe7\xbb\x86\xe8\xaf\xb4\xe6\x98\x8e\xe4\xb9\xa6']
unwieldy,['adj. \xe7\xac\xa8\xe6\x8b\x99\xe7\x9a\x84\xef\xbc\x9b(\xe5\x9b\xa0\xe5\xa4\xaa\xe5\xa4\xa7\xe3\x80\x81\xe5\xa4\xaa\xe9\x87\x8d\xe3\x80\x81\xe5\xbd\xa2\xe7\x8a\xb6\xe5\xa5\x87\xe7\x89\xb9\xe7\xad\x89)\xe4\xb8\x8d\xe6\x98\x93\xe8\xa2\xab\xe7\xa7\xbb\xe5\x8a\xa8\xe7\x9a\x84\xef\xbc\x8c\xe7\xac\xa8\xe9\x87\x8d\xe7\x9a\x84']
orchestra,['n. \xe7\xae\xa1\xe5\xbc\xa6\xe4\xb9\x90\xe9\x98\x9f']
liberty,['n. \xe8\x87\xaa\xe7\x94\xb1']
consequent,['adj. \xe4\xbd\x9c\xe4\xb8\xba\xe7\xbb\x93\xe6\x9e\x9c\xe7\x9a\x84\xef\xbc\x8c\xe9\x9a\x8f\xe4\xb9\x8b\xe5\x8f\x91\xe7\x94\x9f\xe7\x9a\x84']
lampshade,['n. \xe7\x81\xaf\xe7\xbd\xa9']
haze,['n. \xe8\x96\x84\xe9\x9b\xbe']
irrevocable,['adj. \xe4\xb8\x8d\xe8\x83\xbd\xe5\x8f\x96\xe6\xb6\x88\xe7\x9a\x84']
fossil,['n. \xe5\x8c\x96\xe7\x9f\xb3\xef\xbc\x9b\xe5\x83\xb5\xe5\x8c\x96\xe7\x9a\x84\xe4\xba\x8b\xe7\x89\xa9']
conduct,['vt. \xe5\x81\x9a\xef\xbc\x88\xe8\xaf\x95\xe9\xaa\x8c\xe3\x80\x81\xe7\xa0\x94\xe7\xa9\xb6\xe7\xad\x89\xef\xbc\x89\xef\xbc\x9b\xe5\xbc\x95\xe5\xaf\xbc\xef\xbc\x8c\xe5\xb8\xa6\xe9\xa2\x86']
weather,['v. \xe9\xa3\x8e\xe5\x8c\x96']
coupled with,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x8a\xa0\xe4\xb9\x8b\xef\xbc\x8c\xe9\x99\xa4\xe2\x80\xa6\xe4\xbb\xa5\xe5\xa4\x96']
reluctant,['adj. \xe4\xb8\x8d\xe6\x83\x85\xe6\x84\xbf\xe7\x9a\x84\xef\xbc\x8c\xe5\x8b\x89\xe5\xbc\xba\xe7\x9a\x84']
maverick,['adj. \xe7\x89\xb9\xe7\xab\x8b\xe7\x8b\xac\xe8\xa1\x8c\xe7\x9a\x84\xef\xbc\x9b\xe4\xb8\x8d\xe9\x81\xb5\xe5\xae\x88\xe4\xbc\xa0\xe7\xbb\x9f\xe7\x9a\x84']
succumb,['vi. \xe5\xb1\x88\xe6\x9c\x8d\xef\xbc\x8c\xe5\xb1\x88\xe4\xbb\x8e']
morphololgy,['n. \xe5\xbd\xa2\xe6\x80\x81\xe5\xad\xa6\xef\xbc\x8c\xe5\xbd\xa2\xe6\x80\x81\xe8\xae\xba']
particulate,['adj. \xe5\xbe\xae\xe5\xb0\x8f\xe7\x9a\x84']
pioneering,['adj. \xe5\xbc\x80\xe5\x88\x9b\xe6\x80\xa7\xe7\x9a\x84']
mounmental,['adj. \xe6\x9d\xb0\xe5\x87\xba\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe6\x9c\xbd\xe7\x9a\x84']
niche,['n. \xe5\xa3\x81\xe9\xbe\x9b']
avert,['vt. \xe8\xbd\xac\xe7\xa7\xbb\xef\xbc\x9b\xe9\x81\xbf\xe5\x85\x8d\xef\xbc\x8c\xe8\xa7\x84\xe9\x81\xbf']
dreadful,['adj. \xe5\x8f\xaf\xe6\x80\x95\xe7\x9a\x84']
lithosphere,['n. [\xe5\x9c\xb0]\xe5\xb2\xa9\xe7\x9f\xb3\xe5\x9c\x88']
envelop,['v. \xe6\x8a\x8a\xe2\x80\xa6\xe5\x8c\x85\xe4\xbd\x8f\xef\xbc\x8c\xe8\xa3\xb9\xe4\xbd\x8f']
platitudinous,['adj. \xe9\x99\x88\xe8\xaf\x8d\xe6\xbb\xa5\xe8\xb0\x83\xe7\x9a\x84\xef\xbc\x8c\xe9\x99\x88\xe8\x85\x90\xe7\x9a\x84']
interdependent,['adj. \xe7\x9b\xb8\xe4\xba\x92\xe4\xbe\x9d\xe8\xb5\x96\xe7\x9a\x84\xef\xbc\x8c\xe4\xba\x92\xe5\x8a\xa9\xe7\x9a\x84']
herd,['n. \xe5\x85\xbd\xe7\xbe\xa4\xef\xbc\x9b\xe4\xba\xba\xe7\xbe\xa4']
anthropology,['n. \xe4\xba\xba\xe7\xb1\xbb\xe5\xad\xa6']
refinement,['n. \xef\xbc\x88\xe8\xa8\x80\xe8\xaf\xad\xe3\x80\x81\xe4\xb8\xbe\xe6\xad\xa2\xe7\xad\x89\xe7\x9a\x84\xef\xbc\x89\xe6\x96\x87\xe9\x9b\x85\xef\xbc\x8c\xe7\xb2\xbe\xe5\xb7\xa7']
fairly,['adv. \xe5\x85\xac\xe5\xb9\xb3\xe5\x9c\xb0\xef\xbc\x9b\xe7\x9b\xb8\xe5\xbd\x93\xe5\x9c\xb0']
spoon,['n. \xe5\x8c\x99\xef\xbc\x8c\xe5\x8b\xba\xe5\xad\x90']
sculptor,['n. \xe9\x9b\x95\xe5\x88\xbb\xe5\xae\xb6']
the Red Cross,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\xba\xa2\xe5\x8d\x81\xe5\xad\x97\xe4\xbc\x9a']
humility,['n. \xe8\xb0\xa6\xe5\x8d\x91']
path,['n. \xe8\xbd\xa8\xe9\x81\x93\xef\xbc\x8c\xe9\x81\x93\xe8\xb7\xaf']
interdependenc,['n. \xe4\xba\x92\xe7\x9b\xb8\xe4\xbe\x9d\xe8\xb5\x96']
calculate,['vt. \xe8\xae\xa1\xe7\xae\x97\xef\xbc\x9b\xe4\xbc\xb0\xe8\xae\xa1']
conversational,['adj. \xe5\xaf\xb9\xe8\xaf\x9d\xe7\x9a\x84\xef\xbc\x8c\xe4\xbc\x9a\xe8\xaf\x9d\xe7\x9a\x84']
connoisseur,['n. \xe9\x89\xb4\xe8\xb5\x8f\xe5\xae\xb6\xef\xbc\x8c\xe8\xa1\x8c\xe5\xae\xb6']
supposedly,['adv. \xe6\x8c\x89\xe8\xaf\xb4\xef\xbc\x8c\xe5\xba\x94\xe8\xaf\xa5i']
unravel,['v. \xe5\xbc\x84\xe6\xb8\x85\xe6\xa5\x9a\xef\xbc\x88\xe7\xa7\x98\xe5\xaf\x86\xef\xbc\x89']
elaborate,['adj. \xe7\xb2\xbe\xe7\xbb\x86\xe7\x9a\x84\xef\xbc\x8c\xe7\xb2\xbe\xe5\xbf\x83\xe7\x9a\x84\xef\xbc\x9b\xe8\xaf\xa6\xe5\xb0\xbd\xe7\x9a\x84']
economics,['n. \xe7\xbb\x8f\xe6\xb5\x8e\xe5\xad\xa6']
culminate,['v. \xe8\xbe\xbe\xe5\x88\xb0\xe9\xab\x98\xe6\xbd\xae/\xe9\xa1\xb6\xe7\x82\xb9']
controversy,['n. \xe4\xba\x89\xe8\xae\xba\xef\xbc\x8c\xe8\xbe\xa9\xe8\xae\xba']
credit,['n. \xe5\xad\xa6\xe5\x88\x86']
jogging,['n. \xe6\x85\xa2\xe8\xb7\x91']
abolition,['n. \xe5\xba\x9f\xe9\x99\xa4\xef\xbc\x8c\xe5\x8f\x96\xe6\xb6\x88']
exacting,['adj. \xe8\x8b\x9b\xe6\xb1\x82\xe7\x9a\x84\xef\xbc\x8c\xe8\xa6\x81\xe6\xb1\x82\xe4\xb8\xa5\xe6\xa0\xbc\xe7\x9a\x84']
lucrative,['adj. \xe8\xb5\x9a\xe9\x92\xb1\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe5\x88\xa9\xe5\x8f\xaf\xe5\x9b\xbe\xe7\x9a\x84']
anarchist,['n. \xe6\x97\xa0\xe6\x94\xbf\xe5\xba\x9c\xe4\xb8\xbb\xe4\xb9\x89\xe8\x80\x85']
suitable,['adj. \xe9\x80\x82\xe5\xbd\x93\xe7\x9a\x84\xef\xbc\x8c\xe7\x9b\xb8\xe9\x85\x8d\xe7\x9a\x84']
cancellation,['n. \xe5\x8f\x96\xe6\xb6\x88']
astute,['adj. \xe6\x9c\xba\xe6\x95\x8f\xe7\x9a\x84\xef\xbc\x8c\xe7\xb2\xbe\xe6\x98\x8e\xe7\x9a\x84']
pendant,['n. \xe5\x9e\x82\xe9\xa5\xb0\xef\xbc\x9b\xe4\xb8\x8b\xe5\x9e\x82\xe7\x89\xa9']
diameter,['n. \xe7\x9b\xb4\xe5\xbe\x84']
fantastic,['adj. \xef\xbc\x88\xe9\x9d\x9e\xe6\xad\xa3\xe5\xbc\x8f\xef\xbc\x89\xe6\x9e\x81\xe2\x80\xa6\xe7\x9a\x84\xef\xbc\x9b\xe5\xa5\x87\xe5\xbc\x82\xe7\x9a\x84']
regimentation,['n. \xe7\xb3\xbb\xe7\xbb\x9f\xe5\x8c\x96\xef\xbc\x8c\xe7\xbb\x84\xe7\xbb\x87\xe5\x8c\x96\xef\xbc\x9b\xe5\x9b\xa2\xe9\x98\x9f\xe7\xb2\xbe\xe7\xa5\x9e']
divide,['vt. \xe5\x88\x92\xe5\x88\x86\xef\xbc\x8c\xe5\x88\x86\xe5\xbc\x80\xef\xbc\x9b\xe5\x88\x86\xe8\xa3\x82']
classification,['n. \xe5\x88\x86\xe7\xb1\xbb\xef\xbc\x8c\xe5\x88\x86\xe7\xba\xa7']
mobility,['n. \xe6\xb5\x81\xe5\x8a\xa8\xe6\x80\xa7\xef\xbc\x9b\xe7\x81\xb5\xe6\xb4\xbb\xe6\x80\xa7']
lengthen,['vt. \xe5\xbb\xb6\xe9\x95\xbf\xef\xbc\x8c\xe4\xbd\xbf\xe5\x8f\x98\xe9\x95\xbf']
replace,['vt. \xe4\xbb\xa3\xe6\x9b\xbf\xef\xbc\x8c\xe5\x8f\x96\xe4\xbb\xa3']
thrust,['n. \xe6\x8e\xa8\xe5\x8a\x9b\xef\xbc\x8c\xe5\x86\xb2']
remnant,['n. \xe6\xae\x8b\xe4\xbd\x99\xef\xbc\x8c\xe9\x81\x97\xe8\xbf\xb9']
archaeological,['adj. \xe8\x80\x83\xe5\x8f\xa4\xe5\xad\xa6\xe7\x9a\x84']
soybean,['n. \xe5\xa4\xa7\xe8\xb1\x86']
stern,['adj. \xe8\x8b\x9b\xe5\x88\xbb\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\xa5\xe6\xa0\xbc\xe7\x9a\x84\xef\xbc\x9b\xe4\xb8\xa5\xe5\x8e\x89\xe7\x9a\x84']
concomitant,['adj. \xe4\xbc\xb4\xe9\x9a\x8f\xe7\x9a\x84         n. \xe4\xbc\xb4\xe9\x9a\x8f\xe7\x89\xa9']
sunlit,"['adj. \xe8\xa2\xab\xe6\x97\xa5\xe5\x85\x89\xe7\x85\xa7\xe5\xb0\x84\xe4\xba\x86\xe7\x9a\x84, \xe9\x98\xb3\xe5\x85\x89\xe7\x85\xa7\xe5\xb0\x84\xe7\x9a\x84']"
landscape,['n. \xe9\xa3\x8e\xe6\x99\xaf\xef\xbc\x8c\xe5\xb1\xb1\xe6\xb0\xb4\xef\xbc\x9b\xe9\xa3\x8e\xe6\x99\xaf\xe7\x94\xbb']
